subject,hand,comparison,volume_a,volume_b,overlap
8,left,D1_D2,578,176,108
8,left,D1_D3,578,500,194
8,left,D1_D4,578,408,119
8,left,D1_D5,578,332,120
8,left,D2_D3,176,500,120
8,left,D2_D4,176,408,104
8,left,D2_D5,176,332,114
8,left,D3_D4,500,408,190
8,left,D3_D5,500,332,187
8,left,D4_D5,408,332,163
8,right,D1_D2,377,837,116
8,right,D1_D3,377,140,24
8,right,D1_D4,377,618,49
8,right,D1_D5,377,692,76
8,right,D2_D3,837,140,108
8,right,D2_D4,837,618,293
8,right,D2_D5,837,692,330
8,right,D3_D4,140,618,79
8,right,D3_D5,140,692,82
8,right,D4_D5,618,692,300
